67,66
33,10
75,27
11,80
71,50
57,14
72,60
61,63
55,26
17,63
28,98
53,71
51,11
9,82
65,32
37,72
95,24
27,32
54,89
43,18
38,9
82,90
12,74
95,63
22,3
38,98
63,35
3,6
44,43
22,54
29,87
79,61
22,99
25,2
34,75
85,18
48,77
41,16
72,66
84,23
41,73
24,88
78,82
93,100
81,57
2,75
17,41
83,7
26,79
84,24
81,22
17,51
7,89
80,55
62,57
88,76
89,57
10,83
43,3
36,100
16,8
33,65
83,14
7,23
82,90
34,28
63,18
46,9
83,35
3,1
84,47
17,68
8,48
83,48
37,30
91,70
98,80
27,92
76,49
100,39
70,95
50,31
16,91
21,48
53,48
96,51
72,91
83,54
65,54
64,89
85,90
54,43
98,43
34,86
77,46
51,26
91,34
18,16
36,0
3,26
